term_id,item_id,label,neg_ratio,sample_seed
TERM_9af3e909,ITEM_10f16f0c5e4f,0,1,42
TERM_6e30e20e,ITEM_d28ba505be7c,1,1,42
TERM_5ce9d09b,ITEM_bcdc5fd053b1,1,1,42
TERM_ea2ec6f6,ITEM_9f2ac68622f8,1,1,42
TERM_dff1386c,ITEM_ab9b3d2ab51a,1,1,42
TERM_4c2d4ee9,ITEM_587f9bd35ab0,0,1,42
TERM_e36b8b78,ITEM_5a63fc949b2f,1,1,42
TERM_414b8dd5,ITEM_997cff5bedc7,0,1,42
TERM_3901994f,ITEM_92fda5150058,0,1,42
TERM_f6c2adfe,ITEM_6d139fa5ebc6,1,1,42
TERM_864bb953,ITEM_4cff93c19183,1,1,42
TERM_f69fabce,ITEM_87e487c7c436,0,1,42
TERM_a32815fe,ITEM_af7242574197,0,1,42
TERM_e4b9b3d3,ITEM_28f87e08b6ac,0,1,42
TERM_0b062494,ITEM_8055b09f120f,1,1,42
TERM_633e75aa,ITEM_e0d313195ae3,0,1,42
TERM_dac023a8,ITEM_ee466a739fcd,1,1,42
TERM_f0e46d63,ITEM_033fdd726425,0,1,42
TERM_39cb1261,ITEM_fdd1a9c91773,0,1,42
TERM_f9bf4be7,ITEM_1d3d2e1630d3,0,1,42
TERM_6a9d1c64,ITEM_fef0f544b467,0,1,42
TERM_f0bf3d49,ITEM_b437a8563c54,1,1,42
TERM_a640885d,ITEM_769ebeea2343,1,1,42
TERM_9cbf5a1a,ITEM_cc7b19adb7be,0,1,42
TERM_33d27249,ITEM_5fdd1a77995b,1,1,42
TERM_4f80c96b,ITEM_49d4046db2ee,0,1,42
TERM_a501223c,ITEM_47970b0ec66d,1,1,42
TERM_1b54968c,ITEM_d8d7d8d29d48,0,1,42
TERM_d4377d31,ITEM_9ba2edd32f11,0,1,42
TERM_bc3e1e7e,ITEM_9168f78c6e75,0,1,42
TERM_fb1f0327,ITEM_187a128afaf2,1,1,42
TERM_c90be7f0,ITEM_d8c73ef37e3f,1,1,42
TERM_e6c07b0d,ITEM_e63dc9d55dea,1,1,42
TERM_edfb7f9e,ITEM_070af690ff62,1,1,42
TERM_85c36ce3,ITEM_c546e33ceb92,0,1,42
TERM_81c68605,ITEM_bf97c17d60bf,1,1,42
TERM_4f28168c,ITEM_f0c55ff53378,0,1,42
TERM_860d5539,ITEM_f923223a022e,1,1,42
TERM_fa7b370f,ITEM_3222e1440e20,1,1,42
TERM_fcefe71f,ITEM_d8a945d1b459,0,1,42
TERM_8b674fbc,ITEM_60570ea5e1a1,0,1,42
TERM_179587de,ITEM_0888eb819e2a,1,1,42
TERM_ddaa0b68,ITEM_f108d4f8d732,0,1,42
TERM_21153fcb,ITEM_d50f0fbc5448,1,1,42
TERM_b0aa0dcd,ITEM_8db78f5ff46f,0,1,42
TERM_1b626dee,ITEM_ce8f8ea2386d,1,1,42
TERM_4cef2d2c,ITEM_754cbdfa9ea3,1,1,42
TERM_a134fb93,ITEM_7a56885fee83,1,1,42
TERM_f3719249,ITEM_7101244862e2,1,1,42
TERM_b7a44dc5,ITEM_4afd2a3f4f6b,1,1,42
TERM_5399fa07,ITEM_11ad712f35db,1,1,42
TERM_c655491f,ITEM_28f7f094b18d,0,1,42
TERM_d0ab5965,ITEM_b952532a7e20,1,1,42
TERM_14c64849,ITEM_5f2e05d6a262,0,1,42
TERM_122773f5,ITEM_4025644ce82e,1,1,42
TERM_7b987952,ITEM_532a14436575,0,1,42
TERM_234d0ed1,ITEM_9c3511a9843a,1,1,42
TERM_0f927bef,ITEM_71b823431bed,0,1,42
TERM_e6c07b0d,ITEM_d9d41061d0e0,1,1,42
TERM_31641fbb,ITEM_792ab157aa0e,1,1,42
TERM_01cb4f0d,ITEM_dbbb57a85484,1,1,42
TERM_853b4c61,ITEM_7496b66f5e5b,0,1,42
TERM_61fbd883,ITEM_fb427ac54adb,0,1,42
TERM_f9bf4be7,ITEM_9c1876259501,1,1,42
TERM_bbe81054,ITEM_098fd44c05de,1,1,42
TERM_19d1cdc2,ITEM_09076d9ba075,0,1,42
TERM_659743df,ITEM_44df037ae7a3,1,1,42
TERM_e6dcf672,ITEM_a50053f7b09a,0,1,42
TERM_06b83066,ITEM_e0775d0bf92a,0,1,42
TERM_c4ee0bca,ITEM_b233db6deb5e,1,1,42
TERM_6e1bb85d,ITEM_78ae8cdda7c2,0,1,42
TERM_4f56da0f,ITEM_2b09e0ec5f5b,1,1,42
TERM_097d0bf1,ITEM_a99f6abfd322,1,1,42
TERM_1b1d5488,ITEM_a119ddaa2983,1,1,42
TERM_80f4850d,ITEM_4cc818a88e20,1,1,42
TERM_c6275bad,ITEM_7d920db58c85,0,1,42
TERM_eb332a63,ITEM_db12cfa4c147,1,1,42
TERM_acb7c6ca,ITEM_9c1a083019f9,0,1,42
TERM_a17282f4,ITEM_f3518b2cf7d8,0,1,42
TERM_4c6f55a9,ITEM_116baffa8e3b,1,1,42
TERM_492e08cf,ITEM_5a15e0635811,0,1,42
TERM_a048ad74,ITEM_a0f80c78e59a,1,1,42
TERM_20ed8653,ITEM_992524ddf2cd,0,1,42
TERM_de614ee1,ITEM_bc8912674e70,1,1,42
TERM_ec5074bb,ITEM_68de24f83f8d,0,1,42
TERM_916d74e5,ITEM_7d533db52a08,1,1,42
TERM_71544399,ITEM_57c343dbf6d7,1,1,42
TERM_16294143,ITEM_2e126e640b57,1,1,42
TERM_09bf5c27,ITEM_78490a5119ed,0,1,42
TERM_bae39cd0,ITEM_da96a944d401,0,1,42
TERM_99a6cef1,ITEM_23d687891c13,0,1,42
TERM_564f5ba4,ITEM_01a11099889d,0,1,42
TERM_910a93ff,ITEM_96385ec5a2c3,0,1,42
TERM_85bbe209,ITEM_9af6381c9aff,1,1,42
TERM_3bbbf074,ITEM_082694709f30,1,1,42
TERM_52ec4f25,ITEM_5a0f3fe633f9,1,1,42
TERM_52ceab02,ITEM_273574edd88c,0,1,42
TERM_a992eb4d,ITEM_f3f5efb33287,0,1,42
TERM_7705370f,ITEM_e5326d63c10f,0,1,42
TERM_ed00a6c9,ITEM_8062ba9f699d,0,1,42
TERM_49bcf75b,ITEM_3792d54f6948,1,1,42
TERM_43b62066,ITEM_ba037681f722,0,1,42
TERM_43dbcadc,ITEM_9fc6a3b7fa84,1,1,42
TERM_78419304,ITEM_b089182bedd2,0,1,42
TERM_a128de6b,ITEM_8635971fab3f,0,1,42
TERM_b27ae94e,ITEM_e2d91edf8ae9,1,1,42
TERM_18a6d20e,ITEM_e982895dc679,1,1,42
TERM_9563f4be,ITEM_94716fbfb72a,0,1,42
TERM_3f40aef0,ITEM_c3f63dafce8b,0,1,42
